contract_id,instrument_id,is_option,option_type,expiry_date,strike,root,multiplier,exchange_code
fdc99e2c-51b5-54e8-9ace-c42640d81d47,4e8fb84b-74be-561b-a2f3-2df71524019b,True,PUT,2024-04-26,850.0,NVDA,100.0,
200ecb2a-0afa-5267-aae9-df118e494d9a,2d6b1117-2779-55df-b25a-d99dfe56cb92,True,CALL,2024-04-26,5120.0,SPX,100.0,
d4264dba-e629-5b98-9e79-455076911595,2d6b1117-2779-55df-b25a-d99dfe56cb92,True,PUT,2024-04-26,5060.0,SPX,100.0,
de771a4b-9e4f-5835-b3e5-1f05dcede5a9,4e8fb84b-74be-561b-a2f3-2df71524019b,True,PUT,2024-04-26,840.0,NVDA,100.0,
da750f4c-3571-5607-b442-90ff59d3bbde,4e8fb84b-74be-561b-a2f3-2df71524019b,True,PUT,2024-04-26,820.0,NVDA,100.0,
4e4001b4-2df4-5271-bc8e-9b6ac233d9ef,4e8fb84b-74be-561b-a2f3-2df71524019b,True,PUT,2024-04-26,800.0,NVDA,100.0,
4f0e0ead-c518-5079-b4ac-fa283f22a1dd,2d6b1117-2779-55df-b25a-d99dfe56cb92,True,PUT,2024-04-25,5040.0,SPX,100.0,
e631ed5d-c4da-5e43-b206-a6893e1605a7,2d6b1117-2779-55df-b25a-d99dfe56cb92,True,PUT,2024-04-25,5020.0,SPX,100.0,
99a50edd-f93e-5ab2-b7c1-0f8fe2326a98,2d6b1117-2779-55df-b25a-d99dfe56cb92,True,PUT,2024-04-25,5000.0,SPX,100.0,
032206f0-e70b-5e81-a075-1dbf825fb510,4e8fb84b-74be-561b-a2f3-2df71524019b,True,CALL,2024-04-26,850.0,NVDA,100.0,
1680a22f-432e-5e75-a103-80d8750783a7,2d6b1117-2779-55df-b25a-d99dfe56cb92,True,CALL,2024-04-25,5040.0,SPX,100.0,
e709c58a-c9ad-5216-880b-00eed66ded9e,8c57f5cf-512b-5768-acb2-16ecd24e0d31,True,CALL,2024-04-25,421.0,QQQ,100.0,
807c561d-b492-5ff3-b516-a4e97e47be2c,4e8fb84b-74be-561b-a2f3-2df71524019b,True,CALL,2024-04-26,840.0,NVDA,100.0,
