round_trip_id,account,symbol,contract_multiplier,is_option,expiry_date,strike,option_type,qty,open_side,close_side,open_price,close_price,gross_open_value,gross_close_value,realized_pnl,open_trade_id,close_trade_id,open_dt,close_dt,days_held,synthetic_expiration
80,*****0960TDA,NVDA,100.0,True,2024-05-03,860.0,PUT,1,BUY,SELL,1.010000,0.000000,101.00,0.00,-101.00,65865272662,SYN_EXP,2024-05-03T10:04:42-05:00,2024-05-03T23:59:59,0.371725,True
81,*****0960TDA,NVDA,100.0,True,2024-05-03,860.0,PUT,1,BUY,SELL,1.010000,0.000000,101.00,0.00,-101.00,65865272660,SYN_EXP,2024-05-03T10:04:42-05:00,2024-05-03T23:59:59,0.371725,True
82,*****0960TDA,NVDA,100.0,True,2024-05-03,860.0,PUT,5,BUY,SELL,0.580000,0.000000,290.00,0.00,-290.00,65868672467,SYN_EXP,2024-05-03T10:47:19-05:00,2024-05-03T23:59:59,0.342130,True
83,*****0960TDA,MAY,24.0,True,2024-05-03,5100.0,PUT,10,BUY,SELL,4.250000,4.500000,1020.00,1080.00,60.00,65849372185,65861780261,2024-05-03T07:32:06-05:00,2024-05-03T09:23:32-05:00,0.077384,False
84,*****0960TDA,MAY,24.0,True,2024-05-03,5100.0,PUT,10,BUY,SELL,2.650000,3.000000,636.00,720.00,84.00,65854705200,65865272522,2024-05-03T08:42:35-05:00,2024-05-03T10:04:00-05:00,0.056539,False
85,*****0960TDA,MAY,24.0,True,2024-05-03,5100.0,PUT,10,BUY,SELL,1.900000,0.000000,456.00,0.00,-456.00,65863462331,SYN_EXP,2024-05-03T09:45:22-05:00,2024-05-03T23:59:59,0.385150,True
86,*****0960TDA,MSFT,100.0,True,2024-05-03,405.0,CALL,1,BUY,SELL,1.950000,0.750000,195.00,75.00,-120.00,65733077207,65851775570,2024-04-30T09:18:14-05:00,2024-05-03T08:30:38-05:00,2.966944,False
87,*****0960TDA,MSFT,100.0,True,2024-05-03,405.0,CALL,2,BUY,SELL,1.950000,0.750000,390.00,150.00,-240.00,65733077205,65851775570,2024-04-30T09:18:14-05:00,2024-05-03T08:30:38-05:00,2.966944,False
88,*****0960TDA,MSFT,100.0,True,2024-05-03,405.0,CALL,1,BUY,SELL,1.950000,0.750000,195.00,75.00,-120.00,65733077209,65851775570,2024-04-30T09:18:14-05:00,2024-05-03T08:30:38-05:00,2.966944,False
89,*****0960TDA,MSFT,100.0,True,2024-05-03,405.0,CALL,1,BUY,SELL,1.950000,0.750000,195.00,75.00,-120.00,65733077211,65851775570,2024-04-30T09:18:14-05:00,2024-05-03T08:30:38-05:00,2.966944,False
90,*****0960TDA,SPX,100.0,True,2024-05-02,5060.0,PUT,1,BUY,SELL,2.500000,3.600000,250.00,360.00,110.00,65838529214,65838530046,2024-05-02T14:07:07-05:00,2024-05-02T14:12:57-05:00,0.004051,False
91,*****0960TDA,SPX,100.0,True,2024-05-02,5060.0,PUT,1,BUY,SELL,2.500000,3.300000,250.00,330.00,80.00,65838529214,65838530053,2024-05-02T14:07:07-05:00,2024-05-02T14:12:59-05:00,0.004074,False
92,*****0960TDA,SPX,100.0,True,2024-05-02,5060.0,PUT,1,BUY,SELL,2.500000,2.950000,250.00,295.00,45.00,65838529214,65838530069,2024-05-02T14:07:07-05:00,2024-05-02T14:13:07-05:00,0.004167,False
93,*****0960TDA,SPX,100.0,True,2024-05-02,5060.0,PUT,1,BUY,SELL,2.500000,3.200000,250.00,320.00,70.00,65838529214,65838531125,2024-05-02T14:07:07-05:00,2024-05-02T14:18:14-05:00,0.007720,False
94,*****0960TDA,SPX,100.0,True,2024-05-02,5060.0,PUT,1,BUY,SELL,2.500000,3.100000,250.00,310.00,60.00,65838529216,65838531133,2024-05-02T14:07:07-05:00,2024-05-02T14:18:15-05:00,0.007731,False
95,*****0960TDA,SPX,100.0,True,2024-05-02,5030.0,PUT,1,BUY,SELL,2.400000,2.900000,240.00,290.00,50.00,65831412188,65831412536,2024-05-02T12:33:52-05:00,2024-05-02T12:36:01-05:00,0.001493,False
96,*****0960TDA,SPX,100.0,True,2024-05-02,5030.0,PUT,1,BUY,SELL,2.400000,2.900000,240.00,290.00,50.00,65831412188,65831412544,2024-05-02T12:33:52-05:00,2024-05-02T12:36:02-05:00,0.001505,False
97,*****0960TDA,SPX,100.0,True,2024-05-02,5030.0,PUT,3,BUY,SELL,2.400000,1.950000,720.00,585.00,-135.00,65831412188,65831412786,2024-05-02T12:33:52-05:00,2024-05-02T12:37:47-05:00,0.002720,False
98,*****0960TDA,SPX,100.0,True,2024-05-02,5030.0,PUT,1,BUY,SELL,2.000000,0.000000,200.00,0.00,-200.00,65831412844,SYN_EXP,2024-05-02T12:38:47-05:00,2024-05-02T23:59:59,0.264722,True
99,*****0960TDA,SPX,100.0,True,2024-05-02,5030.0,PUT,1,BUY,SELL,2.000000,0.000000,200.00,0.00,-200.00,65831412846,SYN_EXP,2024-05-02T12:38:47-05:00,2024-05-02T23:59:59,0.264722,True
100,*****0960TDA,SPX,100.0,True,2024-05-02,5030.0,PUT,1,BUY,SELL,2.000000,0.000000,200.00,0.00,-200.00,65831412842,SYN_EXP,2024-05-02T12:38:47-05:00,2024-05-02T23:59:59,0.264722,True
101,*****0960TDA,SPX,100.0,True,2024-05-02,5025.0,PUT,5,BUY,SELL,2.550000,2.350000,1275.00,1175.00,-100.00,65831410451,65831410933,2024-05-02T12:19:44-05:00,2024-05-02T12:23:01-05:00,0.002280,False
102,*****0960TDA,SPX,100.0,True,2024-05-02,5060.0,CALL,5,BUY,SELL,5.300000,5.600000,2650.00,2800.00,150.00,65814296092,65814296558,2024-05-02T08:50:51-05:00,2024-05-02T08:51:36-05:00,0.000521,False
103,*****0960TDA,SPX,100.0,True,2024-05-02,5060.0,CALL,2,BUY,SELL,5.100000,5.900000,1020.00,1180.00,160.00,65819442766,65821098697,2024-05-02T09:30:05-05:00,2024-05-02T09:33:35-05:00,0.002431,False
104,*****0960TDA,SPX,100.0,True,2024-05-02,5060.0,CALL,1,BUY,SELL,5.100000,5.900000,510.00,590.00,80.00,65819442770,65821098697,2024-05-02T09:30:05-05:00,2024-05-02T09:33:35-05:00,0.002431,False
